tweet,user,location,date
Don’t let Mars eat @TheRealFunyuns #musingsfrom29 @cta No. 29 @vebeans 🤷🏿‍♀️🧐,englewoodelaine,"Chicago, IL",2019-10-22 19:09:42
RT @Brisa_Irisss: @cta this is EXACTLY what I want on my morning commute. Someone smoking inside the train 😒 #blueline https://t.co/gBoUvEL…,Barrera23G,,2019-10-22 19:07:26
"Hey Chicago, let's not forget that the @cta increased fare by 25 cents a couple years ago! 😂😂😂 https://t.co/i5BZDDEg0J",the_juandy_city,"Chicago, IL",2019-10-22 18:28:34
"RT @ContractorA_Inc: #Contractors do you need more capital to fulfill your contracts? The insight from ZANN Inc, @LISCChicago &amp; the @CTA du…",LISCChicago,Chicago. IL,2019-10-22 18:21:24
"#Contractors do you need more capital to fulfill your contracts? The insight from ZANN Inc, @LISCChicago &amp; the @CTA… https://t.co/zFQVmwIoHN",ContractorA_Inc,"Chicago, Illinois",2019-10-22 18:13:36
Joint venture of Walsh .@thebiggreenw and .@FluorCorp get go-ahead from .@cta for $2.1 billion project.… https://t.co/zVynnMwpPB,ConstructechMag,"Carol Stream, IL",2019-10-22 17:40:09
@Diesel1906 @cta Wow Crazy,poala_garcia,,2019-10-22 17:27:37
RT @demschr: @cta really? 13 minutes after i tweeted?,transit_tweets,,2019-10-22 16:52:38
RT @a_laperriere: @ACDIC @CTA demontrates training tools available under ⁦@godanSec⁩ and GODAN ACTION #OPENDATA #BIGDATA #AGRICULTURE https…,chidambara09,Mysore  and  BERLIN ,2019-10-22 16:40:24
RT @a_laperriere: @ACDIC @CTA demontrates training tools available under ⁦@godanSec⁩ and GODAN ACTION #OPENDATA #BIGDATA #AGRICULTURE https…,godanSec,,2019-10-22 16:33:31
"@cta @Brisa_Irisss Or maybe, just maybe, you guys could actually do something to police your own system, since it's… https://t.co/Lva7hzdVfM",theragelazer,Chicago,2019-10-22 16:28:35
@macdaddychi @cta Not good!,WhiteBunz,"Chicago, IL",2019-10-22 16:26:02
RT @cta: [Minor Delays] Harlem-bound Green Line trains are standing at Central due to debris on the tracks. Crews working to restore servic…,transit_tweets,,2019-10-22 16:23:52
"RT @KenTrayUESF: Keep up the fight Grossmont EA!  Just remember 400,000  members of @CTA and @CFTunion and your co-educators in @UESF stand…",WeAreCTA,California,2019-10-22 16:23:52
It would if people actually adhered to it or if @cta actually had operational escalators. I think Monroe red line i… https://t.co/V0h8EQwhJ5,Joe_Liquor,Chicago,2019-10-22 16:21:26
"RT @TruthandSmiles: Shout out @cta for having the heat on, in the train platform and it's not even Nov 1st. Y'all the real MVP of the city…",Mima_mone,,2019-10-22 16:15:12
@ACDIC @CTA demontrates training tools available under ⁦@godanSec⁩ and GODAN ACTION #OPENDATA #BIGDATA #AGRICULTURE https://t.co/0MUhFkPX1l,a_laperriere,"Oxford, England",2019-10-22 16:14:57
RT @marcloveless: @cta why is the State Street #29 so poorly run. There are longest wait times. I just got off the 35th bus at State Street…,transit_tweets,,2019-10-22 16:09:48
"RT @mpetroshus: @cta So in other words, just a typical day on the CTA.",transit_tweets,,2019-10-22 15:57:53
RT @kaaatttherine: @cta constructive criticism. Can you PLEASE work on how the 146 is released in the AM. We’re going 20 minutes without a…,transit_tweets,,2019-10-22 15:47:08
"@cta... - but that's what the other driver was trying to do, too.  Can you PLEASE make sure the drivers on this rou… https://t.co/sNSY3RHHqU",emperordalek,"Chicago, IL",2019-10-22 15:45:29
"@cta... When I finally got a word in edgewise, I told her that one of your own drivers directed me there and that I… https://t.co/21OZgP23jK",emperordalek,"Chicago, IL",2019-10-22 15:45:06
"@cta... then pointed out that I should go across the street to Ashland. I acknowledged this and went over. However,… https://t.co/R6IUfbWxS9",emperordalek,"Chicago, IL",2019-10-22 15:44:21
"@cta, I'd really like someone to get in touch with me about a problem. The Foster 92 route is redirected right now,… https://t.co/2pimiBgVRX",emperordalek,"Chicago, IL",2019-10-22 15:43:15
@cta the Western Brown line escalator is  is out of order more than 50% of the time. Get your act together and fix… https://t.co/ezwtZNznn7,WendySZ5,Chicago,2019-10-22 15:39:40
RT @wearsallblack1: @cta Yeah i agree the amount of people jumping on tracks is quite disturbing and you seem to do nothing about it,transit_tweets,,2019-10-22 15:36:19
"RT @AuroraMoorealis: @cta Can you please do something about the amount of people getting on the tracks lately?
It’s pretty concerning that…",transit_tweets,,2019-10-22 15:30:17
@cta We spend too much money for your service to be so trash... Dont be surprised when somebody “chile” yall asses.… https://t.co/dCAkvfYyPy,Biggie_Vibez,"Chicago, IL",2019-10-22 15:20:56
"RT @cta: [Minor Delays] Red, Purple and Yellow Line trains are running with delays at Howard due to track switching problems.",transit_tweets,,2019-10-22 15:18:13
RT @cta: @annelionaire @AusarMusic We're coming for you; we have eyes everywhere. 👀,CortlandWalker,"Chicago, IL",2019-10-22 15:06:25
