tweet,user,location,date
"@aToadAbode @cta I would use it constantly, and I really don’t think I’m alone!",itskylelucas,"Chicago, IL",2019-10-18 23:07:14
@itskylelucas @cta This is a frequent transpo daydream of mine.,aToadAbode,Chicago,2019-10-18 23:06:24
"RT @itskylelucas: Um, @cta, where’s our Circle Line?? https://t.co/ozFD2t0Tdg",Daneuntamed, ✶✶✶✶,2019-10-18 23:01:30
"RT @cta: Blue Line riders, don't forget: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements cont…",transit_tweets,,2019-10-18 22:55:16
"Um, @cta, where’s our Circle Line?? https://t.co/ozFD2t0Tdg",itskylelucas,"Chicago, IL",2019-10-18 22:55:02
"RT @cta: Blue Line riders, don't forget: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements cont…",mctsonic,"Chicago, IL",2019-10-18 22:52:44
"RT @cta: Blue Line riders, don't forget: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements cont…",whatthefidd,"Chicago, IL",2019-10-18 22:49:35
@cta Bruh,cashfromthechi,"Chicago, IL",2019-10-18 22:46:34
"RT @cta: Blue Line riders, don't forget: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements cont…",CTABlueLn,"Chicago, IL",2019-10-18 22:46:05
Cleaning Up Crumbling Concrete At CTA Station https://t.co/6Z0IFjeSYY LITERAL crumbling infrastructure.  Disgrace.  @cta @chicagosmayor,justinrondon,,2019-10-18 22:43:35
"RT @PurpleFemmedigo: Sheridan Rd. needs a bus-only lane. The 151, 136, and 147 would see higher ridership if the buses were faster, more re…",menorman,92404,2019-10-18 22:42:29
"@cta One of your busiest blue line stations, and THIS is the arrival times of the 82 northbound buses at Belmont du… https://t.co/q5QGvrRHwO",TheRossHouston,,2019-10-18 22:42:24
@proudchismosa @cta Are you related to former federal reserve chief - Greenspan?,montejx3,,2019-10-18 22:41:14
Hi @cta is it possible for a red line train to not smell like a blunt? Asking for a friend. #ChicagoScanner,PaulRome49,,2019-10-18 22:39:23
"just accidentally broke out dancing on the @cta platform, let’s save my dignity and call it a silent disco",kwistenp,"Chicago, IL",2019-10-18 22:39:00
"@cta  you don’t need the 🔥 on when it’s 60° out. People are in jackets, perfectly comfortable outside. Don’t need t… https://t.co/AQfts7ORgk",RobSall,Chicago,2019-10-18 22:36:43
"RT @neilworms: @greenfieldjohn @Fascinated_Matt @cta @HSRail Tech guy here, I have no problem with the CTA as an airport transportation opt…",greenfieldjohn,"Chicago, Illinois, USA",2019-10-18 22:36:26
"RT @PurpleFemmedigo: Sheridan Rd. needs a bus-only lane. The 151, 136, and 147 would see higher ridership if the buses were faster, more re…",greenfieldjohn,"Chicago, Illinois, USA",2019-10-18 22:35:03
@ProvocCities @cta And I’d add value capture by the @cta to this proposal to make transit funding inherently stronger.,jhodapp,"Chicago, IL",2019-10-18 22:30:38
"@curtis_gl @AdamsKalloch @cta I wasn’t using it as a storage though, between my work schedule I hadn’t had time to… https://t.co/4KdZel4t3D",Echo_Sensei,"Chicago, IL",2019-10-18 22:30:13
"Sheridan Rd. needs a bus-only lane. The 151, 136, and 147 would see higher ridership if the buses were faster, more… https://t.co/I889RKud71",PurpleFemmedigo,"Chicago, IL",2019-10-18 22:29:47
"RT @Splanish: Shiny happy people announcing new, equitable fees for Lyft and Uber downtown &amp; improved bus routes for S and W Sides. Y'all n…",MarySueMPC,Chicago,2019-10-18 22:28:58
@cta adventures #friyay #redline he is snoring https://t.co/gXeiLI3yO1,SuzieQtuti,"Chicago, IL, USA",2019-10-18 22:28:10
@cta Hi. What's up with the red line? An express train just shot through Chicago.,train_dream,,2019-10-18 22:24:13
RT @cta: [Normal Service*] The temporary reroute of Northbound #31 31st buses near 35th/State has ended.,transit_tweets,,2019-10-18 22:23:56
Kudos to @cta for making sure that our children have transportation during the strike. https://t.co/lNr5WI35Je,KDillardRTA,Northeastern Illinois,2019-10-18 22:23:25
"@cta 4 northbound trains and not one single southbound train. Like always, @cta is being their usual racist selves.",minadelecia88,Chicago ,2019-10-18 22:21:52
"If this were @cta @ctared, the fellow passengers would've TOTALLY been his bkgrnd singers!!😆😆😆👍🏾 https://t.co/fs2wJUe5AF",MsWilliamsWorld,Chicago,2019-10-18 22:21:32
"RT @jimsey: Hey @cta about 99% of your drivers are excellent, but this ain't cool. When the 1% cuts in front of me at 20 MPH and forces me…",aka60643,Chicago,2019-10-18 22:19:31
RT @cta: Weekend travelers: We've got a busy weekend of improvement works ahead. Know before you go! Check for weekend service changes (and…,transit_tweets,,2019-10-18 22:10:16
"boy with the boots and slouchy sweater
last @cta car
city disappearing behind him
reading a book on Bob Dylan 
sun… https://t.co/9o4QwyixMY",coldfoxxxx,,2019-10-18 22:08:43
For our @CTA #BrownLine riders who commute between #Western and #Kimball. No trains Sat and Sun due to maintenance.… https://t.co/eI5oa1CGSu,WBBM780Traffic,"Chicago, IL",2019-10-18 22:07:09
"@greenfieldjohn @Fascinated_Matt @cta @HSRail Tech guy here, I have no problem with the CTA as an airport transport… https://t.co/ESsDHyojzs",neilworms,"Chicago, Illinois",2019-10-18 22:06:55
"1) Build on the success of the TOD ordinance and do three things: first, allow it to be applied to any R, B, C, or… https://t.co/9tLn4IgMN0",ProvocCities,"Chicago, IL",2019-10-18 22:02:52
"RT @cta: Brown Line riders, trains will operate between Western and Loop, only, on Saturday and Sunday for improvements along the line betw…",RNovickis,,2019-10-18 22:02:02
RT @cta: [Minor Delays] Harlem-bound Green and KImball-bound Brown Line trains are running w/residual delays following earlier police activ…,nov_nope,Illinois,2019-10-18 21:54:31
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",BrocatoJoan,"Florida, USA",2019-10-18 21:49:52
RT @cta: [Minor Delays] Harlem-bound Green and KImball-bound Brown Line trains are running w/residual delays following earlier police activ…,transit_tweets,,2019-10-18 21:49:49
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",PorterHannah25,"Texas, USA",2019-10-18 21:47:35
RT @cta: [Minor Delays] Harlem-bound Green and KImball-bound Brown Line trains are running w/residual delays following earlier police activ…,opisarepost,"Burbank, IL",2019-10-18 21:42:06
@LIGHT_IS_LAW1 @ChicagoPD19 @cta Because “I HAVE NO problem breaking #YOURneck “🙏🙏🙏❤️😘🥰😍🇺🇸📜⚖️ https://t.co/wsFfds1sqh,Nuria2407,"Boston, Ma & New York, NY",2019-10-18 21:26:17
RT @SteelCity_Burg: @ChicagoPD19 @JennyBluedog @cta I. Love. This.  This man then went on to run the marathon.  👏👏👏👏,Nuria2407,"Boston, Ma & New York, NY",2019-10-18 21:24:13
oh? there's an Ohio State game at Northwestern - please allot additional traveling time when it comes to the @cta,phillipshake,"boystown, chicago, USA",2019-10-18 21:24:07
RT @PurpleFemmedigo: Reasons why @cta buses need cameras and the agency should be able to issue tickets @GovPritzker @RepKellyCassidy https…,aka60643,Chicago,2019-10-18 21:24:04
RT @PurpleFemmedigo: Reasons why @cta buses need cameras and the agency should be able to issue tickets @GovPritzker @RepKellyCassidy https…,jordanonceagain,"Chicago, IL",2019-10-18 21:23:03
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",Nuria2407,"Boston, Ma & New York, NY",2019-10-18 21:22:32
@chicchaos @cta Uggggggh. I hate this nonsense train.,AaronWL,"Chicago, IL",2019-10-18 21:22:03
@AaronWL @cta Especially when that immediate followed also went express,chicchaos,"Chicago, IL",2019-10-18 21:21:01
"Gotta love the bold face lie of the @cta red line having an ""immediate follower"". A train coming in 7 minutes is not an immediate follower.",AaronWL,"Chicago, IL",2019-10-18 21:18:13
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",transitwitch,Toronto,2019-10-18 21:17:43
RT @cta: [Significant Delays] Blue Line trains are running w/residual delays following an earlier unauthorized person on the tracks at Jack…,JucheMane,Chicago,2019-10-18 21:06:44
RT @cta: [Minor Delays] Pink Line trains are running w/residual delays an earlier unauthorized person on the tracks at 54th/Cermak. Service…,JucheMane,Chicago,2019-10-18 21:06:40
@ChicagoPD19 @cta BOSTON STRONG!... even when they're visiting Chicago. -- Now there's an idea... sent Boston to de… https://t.co/zOXeSfmfPw,GhostWritingUSA,"Los Angeles, CA",2019-10-18 21:06:18
Seeing suburbs kids amazed by @cta will never get old,proudchismosa,"Chicago, IL",2019-10-18 21:05:54
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",GhostWritingUSA,"Los Angeles, CA",2019-10-18 21:05:27
Hey @NUFBFamily pls rip @OhioStateFB a new asshole bc their fans were horrible on @cta,Melisssavania,Midwestern city | hard core socialist,2019-10-18 21:02:14
"RT @greenfieldjohn: @cta The @cta's response to that anti-transit troll last July was pretty brilliant.
https://t.co/JSLMCHXcJm https://t.c…",halldjack,"Chicago, IL",2019-10-18 21:01:31
@cta fix the goddamn tracker. ‘2 mins’ and no bus ever showing up is ANNOYING,hpurrin,,2019-10-18 20:57:12
@SouthSideKyle @PurpleFemmedigo @cta @GovPritzker @RepKellyCassidy It’s a priority for us and @Metroplanners in Spr… https://t.co/PbHQyQLuWV,activetrans,Chicagoland,2019-10-18 20:56:10
@cta Have you seen a NB #Redline train?,tominrp,"Chicago, IL",2019-10-18 20:55:03
The Logan Square stop smells like literal shit. @cta 🤢,marendotkoeller,"Chicago, IL",2019-10-18 20:49:28
"It’s Friday, it’s rush hour. Where are the #Redline NB trains @cta",tominrp,"Chicago, IL",2019-10-18 20:49:18
@cta Brian nix is who she dealt previously,majors_janice,"Oak Forest, IL",2019-10-18 20:43:55
RT @NIMHDirector: @cta beats auto https://t.co/D44WlWukHF,NIMHDirector,"Bethesda, MD",2019-10-18 20:39:36
@Dannerdog1 @SarahJindra @WGNNews @cta High school is starting enjoy the rollercoaster.,JosephGKogutJr,Chicago,2019-10-18 20:32:18
@JosephGKogutJr @SarahJindra @WGNNews @cta Hahaha. Yes just do that!!,Dannerdog1,,2019-10-18 20:30:39
@Dannerdog1 @SarahJindra @WGNNews @cta So don’t change the system and let the animals run the asylum? Gotcha,JosephGKogutJr,Chicago,2019-10-18 20:24:08
"@NYCTSubway also same but in a midwestern nice way for whoever runs @cta's twitter account 

follow me on your personal main you cowards",seungylee14,Berkeley,2019-10-18 20:23:46
@cta @diddy du ragg is what they calling him Diddy a bit ch for paying women's relationships wrongfully,majors_janice,"Oak Forest, IL",2019-10-18 20:23:22
@JosephGKogutJr @SarahJindra @WGNNews @cta They knew what they signed up for.,Dannerdog1,,2019-10-18 20:19:18
"@cta Hi, I was headed south. Getting on at Berteau &amp; Kimball heading towards Fullerton",kirbaqueen,,2019-10-18 20:11:54
"RT @Splanish: Shiny happy people announcing new, equitable fees for Lyft and Uber downtown &amp; improved bus routes for S and W Sides. Y'all n…",gerasimenkoju,"Chicago, IL",2019-10-18 20:08:38
Feeling accomplished. First ride on the #L and completed the #Loop @cta https://t.co/1WGvTmCNkT,David_A_Herrera,"Redondo Beach, CA",2019-10-18 20:07:22
RT @JenZyski: @ChicagoDPD @cta @theCHAtweets Is @theCHAtweets going to use East Lake Management as their management company? Because if tha…,MetroPulseUSA,West suburban Chicago,2019-10-18 20:05:43
"RT @ChicagoDPD: Plan Commission unanimously approves a 100-unit affordable housing development at 2602 N. Emmett St., immediately adjacent…",MetroPulseUSA,West suburban Chicago,2019-10-18 20:05:31
@cta that man is ruined thanks,majors_janice,"Oak Forest, IL",2019-10-18 20:05:09
@cta the southbound blue line Damen &amp; Milwaukee platform railing has a loose bottom bolt https://t.co/olB1ZvweLx,oconno39,"Champaign, IL, USA",2019-10-18 20:04:08
@cta Bus arrival screens at loop link station at Washington/state are not working. They all look like this. https://t.co/pIdu15IuLV,AndrewPremovich,,2019-10-18 20:03:56
@Dannerdog1 @SarahJindra @WGNNews @cta So you don’t blame shitty parents? Or the now in place policies that are crippling teachers?,JosephGKogutJr,Chicago,2019-10-18 19:53:11
RT @cta: [Minor Delays] Forest Park-bound Blue Line trains are running w/residual delays following an earlier mechanical problem near Austi…,itsmetyrinh,"Chicago, IL",2019-10-18 19:47:48
"@cta delays on red lines both directions, nothing from you",kleinwords,"Chicago, IL",2019-10-18 19:38:12
"@PurpleFemmedigo @cta @GovPritzker @RepKellyCassidy Cc: @activetrans, who is maybe still trying to get this done in… https://t.co/ozLpRtKXTF",SouthSideKyle,Chicago,2019-10-18 19:33:23
@krozaline @cta Just busses.,CTULocal1,"Chicago, IL",2019-10-18 19:18:08
@JosephGKogutJr @SarahJindra @WGNNews @cta None of these kids here fight because their parents are well behaved. Te… https://t.co/h4mz7xMstc,Dannerdog1,,2019-10-18 19:12:35
@JosephGKogutJr @SarahJindra @WGNNews @cta It’s not a bubble but decent neighborhoods. Teachers that hear this and… https://t.co/kfZvk7XdqT,Dannerdog1,,2019-10-18 19:10:55
@Dannerdog1 @SarahJindra @WGNNews @cta Students intimidated by other students. Facts from teachers yet your kid has… https://t.co/Lwu5acYtrt,JosephGKogutJr,Chicago,2019-10-18 19:08:01
RT @cta: [Normal Service*] The temporary reroute of Northbound 50 Damen buses near Damen/14th has ended.,transit_tweets,,2019-10-18 19:02:29
@JosephGKogutJr @SarahJindra @WGNNews @cta What facts did you cite? You told me things you believe to be true. That… https://t.co/HIGV0GRDLi,Dannerdog1,,2019-10-18 18:56:24
@wearsallblack1 @cta Be nice to the cta. It’s their way or the pedway.,redempsun,,2019-10-18 18:52:38
"Annnnd.....@cta customer service just told me that anyone can use the priority seating on CTA buses and trains, and… https://t.co/nzLbQKbRda",ChiStreetTweets,,2019-10-18 18:40:07
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",SamKling2,"Chicago, IL",2019-10-18 18:36:56
@kyledowns1 @ArchiJake @LogansSquares @gotavern @CleosChicago @cta @Metra @DivvyBikes I used to live in Park Place… https://t.co/gwZa6yuKfm,Pattrick11,Chicago IL,2019-10-18 18:35:38
"@cta The @cta's response to that anti-transit troll last July was pretty brilliant.
https://t.co/JSLMCHXcJm https://t.co/zs53LKTiwI",greenfieldjohn,"Chicago, Illinois, USA",2019-10-18 18:30:03
@greenfieldjohn @cta John this exchange is *chef's kiss* wonderful.,ClaytonGuse,New York City,2019-10-18 18:26:29
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",itsmetyrinh,"Chicago, IL",2019-10-18 18:25:18
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",edngai078_ni,"Palm Springs, CA",2019-10-18 18:21:18
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",WarriorAllways,"Florida, USA",2019-10-18 18:17:40
@ChicagoPD19 @cta Stupid. But nice that he stepped up.,diordiva111,Chicago,2019-10-18 18:17:31
@LogansSquares @ArchiJake @gotavern @CleosChicago @cta @Metra @DivvyBikes Thanks,JakeSweeney1973,Chicago via San Francisco,2019-10-18 18:15:01
@Echo_Sensei @AdamsKalloch @cta It's not storage.,curtis_gl,"Chicago, IL",2019-10-18 18:14:16
"@Fascinated_Matt Sure, @CTA is undesirable if you're a tech bro who thinks transit is populated by serial killers.… https://t.co/MKqu0i5J5q",greenfieldjohn,"Chicago, Illinois, USA",2019-10-18 18:07:09
@Fascinated_Matt @greenfieldjohn The @cta is awesome.,malzlieber,The Field Of Wild Onions,2019-10-18 18:06:48
@greenfieldjohn @cta I'd much rather spend my time on the CTA with people who are broke and impoverished financiall… https://t.co/Mj0YQVhkEb,AashaaManitou,Chicago,2019-10-18 18:06:27
"OK folks, I think I've figured out who the troll was who tweeted “You will never catch me with the broke and impove… https://t.co/ESo1VlYOVH",greenfieldjohn,"Chicago, Illinois, USA",2019-10-18 18:02:35
RT @msanchezMIA: Dear @cta please give the blue line conductor who was singing this morning a raise. I feel so lucky every time I am on his…,majors_janice,"Oak Forest, IL",2019-10-18 18:00:34
@msanchezMIA @cta What!😁,majors_janice,"Oak Forest, IL",2019-10-18 18:00:27
"@cta On bus# 8202, Fullerton eastbound between 12:50PM and 12:55PM your driver refused to have passengers with stro… https://t.co/0yJqjLGTA1",ChiStreetTweets,,2019-10-18 17:59:14
"The @cta had an annual ridership of 468.44 in 2018

In 2011 the CTA paid $454 million to Ventra for a 12 year payme… https://t.co/pMnwGzTrWf",sorendrew,,2019-10-18 17:55:37
"Yes please! And pair this with expanded @cta on the South Side and free rides (actually my ideal would be a ""sugges… https://t.co/fGRtQznLRE",EricThomasH,"Chicago, IL",2019-10-18 17:54:37
@CTULocal1 Does this apply to the @cta trains too?,krozaline,"Chicago, IL",2019-10-18 17:49:52
"RT @cta: [Minor Delays / Reroute] Northbound 31 31st buses are temporarily rerouted via State, Pershing, and LaSalle",transit_tweets,,2019-10-18 17:39:27
"RT @cta: [Minor Delays / Reroute] Northbound 31 31st buses are temporarily rerouted via State, Pershing, and LaSalle",opisarepost,"Burbank, IL",2019-10-18 17:33:02
@Dannerdog1 @SarahJindra @WGNNews @cta You’re living in a dream world. I’ve cited facts. Reality hits pretty hard,JosephGKogutJr,Chicago,2019-10-18 17:29:59
"@cta Honestly, what is with people always on the tracks? This is clearly a recurring issue",feentweets,"Chicago, IL",2019-10-18 17:21:27
@cta It’s absolutely ridiculous that this is still a daily issue. You’re just not addressing this at all. You’re ca… https://t.co/XMtDxwrns4,feentweets,"Chicago, IL",2019-10-18 17:20:27
"RT @livable_city: @PurpleFemmedigo @cta @GovPritzker @RepKellyCassidy Saw this bus lane photo enforcement sign while in NYC this week, this…",PurpleFemmedigo,"Chicago, IL",2019-10-18 17:18:29
@cta Thank you!,terynjrobinson,"Chicago, IL",2019-10-18 17:12:09
@PurpleFemmedigo @cta @GovPritzker @RepKellyCassidy Saw this bus lane photo enforcement sign while in NYC this week… https://t.co/JYaAtz0k8A,livable_city,,2019-10-18 17:10:09
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",HennesseyBonnie,"Brookings, OR",2019-10-18 17:07:33
"RT @cta: @msanchezMIA We feel lucky to have you as a rider, so I guess the feeling is mutual!",transit_tweets,,2019-10-18 17:03:30
@AdamsKalloch @cta It doesn’t work all the time as the cta will still remove your bike after like 4 days like they did to me 😎,Echo_Sensei,"Chicago, IL",2019-10-18 16:59:33
"Shiny happy people announcing new, equitable fees for Lyft and Uber downtown &amp; improved bus routes for S and W Side… https://t.co/cWiqEf2Eov",Splanish,"Chicago, IL",2019-10-18 16:57:13
"Imagine if @cta riders protested slow buses!! 😍😍😍 Like, took over Michigan Ave and demanded bus-only lanes. I would… https://t.co/5E3CrIkE5Q",PurpleFemmedigo,"Chicago, IL",2019-10-18 16:56:18
Wow I just payed to enter the subway in Chicago using applePay and I can’t believe how easy it was. Go @cta!,jkuooo,he/him,2019-10-18 16:54:47
Reasons why @cta buses need cameras and the agency should be able to issue tickets @GovPritzker @RepKellyCassidy https://t.co/YmF8GHE1wf,PurpleFemmedigo,"Chicago, IL",2019-10-18 16:53:38
@kyledowns1 @LogansSquares @gotavern @CleosChicago @cta @Metra @DivvyBikes @Pattrick11 I would suggest Buena instea… https://t.co/RGMnJcwtU4,ArchiJake,"Chicago, IL",2019-10-18 16:52:48
ATTN. BLUE LINE RIDERS: The Division @cta station will close tonight at 10p and re-open for O'Hare-bound trains at… https://t.co/XjTh9XtocC,101WKQX,"Chicago, IL",2019-10-18 16:51:43
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",NancyKr42065306,"Ohio, USA",2019-10-18 16:44:57
@ArchiJake @LogansSquares @gotavern @CleosChicago @cta @Metra @DivvyBikes @Pattrick11 I’ve been gathering a group f… https://t.co/JNWAXaF3UA,kyledowns1,"Chicago, IL",2019-10-18 16:42:26
RT @AdamsKalloch: Bike parking inside ticketed area. 👏 @cta #multimodal https://t.co/sPujehWJss,cta,"Chicago, IL",2019-10-18 16:41:44
@theurbanologist @bellwak @Chicago_Reader @cta Neal and I were both covering politics for smaller outlets--he for t… https://t.co/Dee6dcIyYQ,ltaford,Chicago,2019-10-18 16:26:49
Bike parking inside ticketed area. 👏 @cta #multimodal https://t.co/sPujehWJss,AdamsKalloch,"Portland, Oregon, USA",2019-10-18 16:26:19
"RT @cta: [Minor Delays / Reroute] Northbound 50 Damen buses are temporarily rerouted via Damen, 18th, Ashland, Roosevelt, and Damen.",transit_tweets,,2019-10-18 16:25:24
"RT @ltaford: @bellwak @Chicago_Reader I love the Green Line, too. But the @cta has no conductors. Only ""train operators."" https://t.co/9GJN…",Chicago_Reader,"Chicago, IL",2019-10-18 16:24:32
"@ltaford @bellwak @Chicago_Reader @cta Damn, coming through with a Neal Pollack DEEP CUT.

I remember these cuts an… https://t.co/17MSlvbIKR",theurbanologist,Chicago & Boston,2019-10-18 16:23:45
"@bellwak @Chicago_Reader I love the Green Line, too. But the @cta has no conductors. Only ""train operators."" https://t.co/9GJNNLuyzN",ltaford,Chicago,2019-10-18 16:21:22
@swasko @cta omg have you seen this article from 2014??? https://t.co/Af3VhAlxsy,taylorannberg,"Wicker Park, Chicago, IL",2019-10-18 16:13:13
@swasko @cta I’m guessing it may be cheaper to replace the old 1940’s escalator part rather than just replace the e… https://t.co/60OGUBzdbY,taylorannberg,"Wicker Park, Chicago, IL",2019-10-18 16:10:42
@swasko @cta You are giving us all so much! Thank you!,taylorannberg,"Wicker Park, Chicago, IL",2019-10-18 16:09:49
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",mikescclaffey,Chicago,2019-10-18 16:09:10
@taylorannberg Interesting you asked! I chatted up an escalator tech working at the Belmont Blue station this morni… https://t.co/hZ9WM107UO,swasko,"Chicago, Ill.",2019-10-18 16:09:01
"RT @cta: Blue Line riders, remember: Trains to downtown and Forest Park begin bypassing Division on Monday as station improvements continue…",CHI311,"Chicago, IL",2019-10-18 16:06:26
@msanchezMIA @cta I miss that guy,Ladyqbiggirl,"Chi-Town, IL",2019-10-18 16:00:27
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",SugoiDuBois,"Chicago, IL",2019-10-18 15:57:00
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",Grossasherri,,2019-10-18 15:47:22
@JosephGKogutJr @SarahJindra @WGNNews @cta I do. Just like how I hear downtown is soooooo dangerous. My son and I g… https://t.co/7rfyGbFiof,Dannerdog1,,2019-10-18 15:47:00
@marywizchicago @Lyndab08 @cta @ChicagoDOT Is Ald. Burnett in a neck brace or is that fashion?,jus10chi,,2019-10-18 15:46:31
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",ndblumberg,Chicago,2019-10-18 15:41:49
@Dannerdog1 @SarahJindra @WGNNews @cta You think I’m lying? Same as three people shot in Chicago isn’t a terrorist act.,JosephGKogutJr,Chicago,2019-10-18 15:41:40
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",LucasStephens2,"Chicago, IL",2019-10-18 15:39:39
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",MrsCarrion1,United States,2019-10-18 15:36:30
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",bagatelleno12,"Brooklyn, NY",2019-10-18 15:35:13
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",Lyndab08,"Chicago, IL",2019-10-18 15:33:40
"RT @marywizchicago: Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority zones…",bcornew,,2019-10-18 15:32:47
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",LadyPat18,"Florida, USA",2019-10-18 15:30:26
@JosephGKogutJr @SarahJindra @WGNNews @cta Common now. Kids are threatening others for doing their work? And yes Br… https://t.co/gfuoRzT2AI,Dannerdog1,,2019-10-18 15:29:12
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",KarenJenkot,"Chicago, IL",2019-10-18 15:25:47
"You ever been waiting on a bus Wondering where the fuck it is and it just.. passes you, while you're at the bus sto… https://t.co/IqMgmHOecj",a_queer_ius,,2019-10-18 15:23:33
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",Kerrie89297309,The land of the Free...,2019-10-18 15:21:52
Damn. Is the @cta on strike too? https://t.co/V2pgLSldif,MightBeFalcon,"Chicago, IL",2019-10-18 15:19:04
"Mayor Lightfoot announces new ride hailing fees, with money to go to ⁦@cta⁩  ⁦@ChicagoDOT⁩ including bus priority z… https://t.co/SQBGmMiMr3",marywizchicago,Chicago,2019-10-18 15:18:55
@cta Well. We made it past Harlem. I’ll be glad if we can make it to the next stop so I can get out of here.,allweeksend,Chicago,2019-10-18 15:17:13
RT @cta: [Minor Delays] Kimball-bound Brown Line trains are running w/residual delays following an earlier mechanical problem on a train at…,huskeeman82,"Chicago, IL",2019-10-18 15:16:53
Stopped again? @cta what’s going on?,allweeksend,Chicago,2019-10-18 15:13:17
@cta It sounded like an explosion of some sort,earthtojina,"Chicago, IL",2019-10-18 15:03:19
RT @cta: [Minor Delays] Pink Line trains are standing 54th/Cermak due to an unauthorized person on the tracks. Crews working to restore ser…,transit_tweets,,2019-10-18 15:00:57
RT @cta: [Minor Delays] Pink Line trains are standing 54th/Cermak due to an unauthorized person on the tracks. Crews working to restore ser…,huskeeman82,"Chicago, IL",2019-10-18 14:55:57
"@cta It was at the western orange line station, waiting for the ~9:15am train",rcoasb96,Poundtown,2019-10-18 14:54:21
RT @cta: [Minor Delays] Pink Line trains are standing 54th/Cermak due to an unauthorized person on the tracks. Crews working to restore ser…,Brother3j,,2019-10-18 14:53:22
Teaching Through Trauma https://t.co/rID3m3RQ1u #teambcsd Thank you to @CTA for sharing this very important topic with California Educators.,MarkALuque,Central California,2019-10-18 14:50:14
"RT @ChicagoPD19: What this #GoodSamaritan did is very heroic. However,  I do not encourage citizens to confront #ArmedSuspect

#GoodSamarit…",PilgrimzProgres,"Florida, USA",2019-10-18 14:37:59
RT @cta: [Significant Delays] Blue Line trains are running w/residual delays following an earlier unauthorized person on the tracks at Jack…,transit_tweets,,2019-10-18 14:33:35
RT @cta: [Significant Delays] Blue Line trains are standing at Jackson due to an unauthorized person on the tracks. Crews working to restor…,transit_tweets,,2019-10-18 14:31:35
@Dannerdog1 @SarahJindra @WGNNews @cta Where do you live where the kids are so nice?,JosephGKogutJr,Chicago,2019-10-18 14:30:02
